Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
305,407,407,2.4658752e-12,ENSG00000196449,YRDC
306,498,498,2.2785183e-12,ENSG00000117450,PRDX1
307,321,321,2.2512428e-12,ENSG00000060656,PTPRU
308,19,19,2.2075946e-12,ENSG00000127054,INTS11
309,123,123,2.1920113e-12,ENSG00000175279,CENPS
310,118,118,2.0172661e-12,ENSG00000162444,RBP7
311,465,465,1.9910584e-12,ENSG00000198198,SZT2
312,61,61,1.9827967e-12,ENSG00000149527,PLCH2
313,432,432,1.978856e-12,ENSG00000259943,AL050341.2
314,170,170,1.7798473e-12,ENSG00000173641,HSPB7
315,55,55,1.7597625e-12,ENSG00000287356,AL590822.3
316,459,459,1.6665736e-12,ENSG00000117394,SLC2A1
317,299,299,1.5608096e-12,ENSG00000130775,THEMIS2
318,499,499,1.4623099e-12,ENSG00000117448,AKR1A1
319,117,117,1.4470304e-12,ENSG00000173614,NMNAT1
320,3,3,1.3727307e-12,ENSG00000225880,LINC00115
321,374,374,1.2749069e-12,ENSG00000146463,ZMYM4
322,18,18,1.2369107e-12,ENSG00000169972,PUSL1
323,194,194,1.1726414e-12,ENSG00000127463,EMC1
324,297,297,1.0094485e-12,ENSG00000117758,STX12
325,246,246,9.89958e-13,ENSG00000188529,SRSF10
326,440,440,9.881036e-13,ENSG00000066136,NFYC
327,315,315,8.921768e-13,ENSG00000162419,GMEB1
328,162,162,8.1564627e-13,ENSG00000116786,PLEKHM2
329,351,351,7.786797e-13,ENSG00000162521,RBBP4
330,446,446,7.3654337e-13,ENSG00000198815,FOXJ3
331,72,72,6.5089053e-13,ENSG00000078900,TP73
332,452,452,5.9943066e-13,ENSG00000234917,AC098484.2
333,193,193,5.9795186e-13,ENSG00000230424,EMC1-AS1
334,12,12,5.969104e-13,ENSG00000078808,SDF4
335,4,4,5.80162e-13,ENSG00000187634,SAMD11
336,93,93,5.70906e-13,ENSG00000162413,KLHL21
337,96,96,4.5991244e-13,ENSG00000007923,DNAJC11
338,335,335,4.4622262e-13,ENSG00000121774,KHDRBS1
339,447,447,4.0827124e-13,ENSG00000177181,RIMKLA
340,229,229,3.956527e-13,ENSG00000169641,LUZP1
341,496,496,3.880652e-13,ENSG00000280670,CCDC163
342,70,70,3.8100819e-13,ENSG00000158109,TPRG1L
343,268,268,3.448102e-13,ENSG00000175087,PDIK1L
344,191,191,3.372238e-13,ENSG00000272084,AL137127.1
345,46,46,3.276106e-13,ENSG00000231050,AL109917.1
346,293,293,2.9950088e-13,ENSG00000126705,AHDC1
347,122,122,2.8674453e-13,ENSG00000142657,PGD
348,203,203,2.780745e-13,ENSG00000127472,PLA2G5
349,270,270,2.7320206e-13,ENSG00000142684,ZNF593
