Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
485,485,1.330428e-15,ENSG00000142959,BEST4
490,490,1.2180641e-15,ENSG00000126088,UROD
387,387,1.2004981e-15,ENSG00000116871,MAP7D1
285,285,1.1867517e-15,ENSG00000253368,TRNP1
87,87,1.0530856e-15,ENSG00000097021,ACOT7
256,256,1.0052754e-15,ENSG00000272432,AL031432.3
79,79,9.955516e-16,ENSG00000131697,NPHP4
243,243,9.737443e-16,ENSG00000117305,HMGCL
237,237,9.205521e-16,ENSG00000142676,RPL11
41,41,9.025507e-16,ENSG00000189339,SLC35E2B
188,188,8.785946e-16,ENSG00000117154,IGSF21
177,177,8.630616e-16,ENSG00000055070,SZRD1
259,259,8.084674e-16,ENSG00000157978,LDLRAP1
133,133,7.748662e-16,ENSG00000198793,MTOR
212,212,7.6947e-16,ENSG00000127483,HP1BP3
31,31,7.633974e-16,ENSG00000160072,ATAD3B
105,105,7.0043664e-16,ENSG00000162426,SLC45A1
482,482,6.7210693000000005e-16,ENSG00000126106,TMEM53
233,233,6.625937e-16,ENSG00000249087,ZNF436-AS1
484,484,6.4056856e-16,ENSG00000142937,RPS8
321,321,5.9813105e-16,ENSG00000060656,PTPRU
37,37,5.207904e-16,ENSG00000272106,AL691432.2
49,49,5.1030066e-16,ENSG00000233542,AL391845.2
170,170,4.90452e-16,ENSG00000173641,HSPB7
326,326,4.3835048000000003e-16,ENSG00000060688,SNRNP40
373,373,4.305531e-16,ENSG00000116560,SFPQ
30,30,4.219195e-16,ENSG00000215915,ATAD3C
458,458,4.051961e-16,ENSG00000164011,ZNF691
205,205,4.0408938000000004e-16,ENSG00000162543,UBXN10
242,242,4.0373037000000004e-16,ENSG00000117308,GALE
299,299,3.7364744000000003e-16,ENSG00000130775,THEMIS2
167,167,3.6664554e-16,ENSG00000065526,SPEN
154,154,3.3680214000000003e-16,ENSG00000116731,PRDM2
225,225,3.0059857e-16,ENSG00000159189,C1QC
441,441,2.7093492e-16,ENSG00000117013,KCNQ4
322,322,2.2956523e-16,ENSG00000162511,LAPTM5
12,12,2.2229781000000003e-16,ENSG00000078808,SDF4
129,129,2.1445883000000003e-16,ENSG00000271895,AL109811.2
416,416,2.0739412000000003e-16,ENSG00000228436,AL139260.1
106,106,2.0379049000000001e-16,ENSG00000142599,RERE
306,306,1.8909832000000001e-16,ENSG00000270605,AL353622.1
356,356,1.7152109000000003e-16,ENSG00000160097,FNDC5
399,399,1.5646988e-16,ENSG00000163874,ZC3H12A
183,183,1.5078419000000002e-16,ENSG00000159363,ATP13A2
32,32,1.4012714000000002e-16,ENSG00000197785,ATAD3A
204,204,1.368435e-16,ENSG00000225986,UBXN10-AS1
446,446,1.2543964000000001e-16,ENSG00000198815,FOXJ3
325,325,1.14286e-16,ENSG00000084628,NKAIN1
384,384,1.009737e-16,ENSG00000116863,ADPRHL2
338,338,1.0037497000000001e-16,ENSG00000250135,AL049795.2
18,18,9.868884000000001e-17,ENSG00000169972,PUSL1
184,184,9.141512e-17,ENSG00000117118,SDHB
443,443,8.368172000000001e-17,ENSG00000171793,CTPS1
481,481,7.812799e-17,ENSG00000187147,RNF220
158,158,6.58353e-17,ENSG00000142634,EFHD2
396,396,5.6216405e-17,ENSG00000119535,CSF3R
262,262,4.3458074e-17,ENSG00000162430,SELENON
330,330,4.177091e-17,ENSG00000142910,TINAGL1
390,390,4.1331062e-17,ENSG00000142694,EVA1B
67,67,4.0869025e-17,ENSG00000177133,PRDM16-DT
164,164,3.9773633e-17,ENSG00000162458,FBLIM1
426,426,3.5859087e-17,ENSG00000198754,OXCT2
395,395,3.466022e-17,ENSG00000116898,MRPS15
335,335,2.6724358e-17,ENSG00000121774,KHDRBS1
221,221,2.0299047e-17,ENSG00000070831,CDC42
56,56,1.7716695000000002e-17,ENSG00000116151,MORN1
